id,name,edible_conversion_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbs_available_g,fiber_g,ash_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,zinc_mg,selenium_mcg,retinol_mcg,beta_carotene_eq_mcg,thiamin_mg,riboflavin_mg,niacin_mg,food_folate_mcg,vit_b12_mcg,vit_c_mg,cholesterol_mg,food_group
2026,"Potato, Irish (English), white variety, peeled, steamed (without salt)",0,456.0,107.0,71.5,2.5,0.2,23.2,1.7,1,8,1.3,18,559,6,0.31,0,0,0,0.06,0.04,1.1,33,0,5,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2010,"Radish, round, red skin, raw",0.81,64.0,15.0,94.5,0.8,0.16,1.6,2.3,0.7,36,0.4,22,103,32.27,0.18,0,0,1,0.02,0.03,0.3,25,0,21,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2011,"Radish, long, red skin, raw",0.98,57.0,14.0,94.7,0.6,[0.1],1.3,2.5,0.8,28,0.37,13,193,25,0.16,0,0,2,0.06,0.02,0.3,26,0,17,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2012,"Radish, white skin, raw",0.99,93.0,22.0,93,1.1,0.3,2.7,2.1,0.7,40,0.4,14,249,26,0.34,0,0,15,0.03,0.02,0.5,28,0,15,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2013,"Sweet potato, brown skin, peeled, raw",0.84,428.0,101.0,72,1.7,[0.4],20.8,4,1.2,22,0.4,12,389,20,0.28,0,0,100,0.07,0.03,0.8,16,0,18,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2027,"Sweet potato, brown skin, peeled, boiled, drained (without salt)",0,428.0,101.0,72,1.7,0.4,20.8,4,1.2,21,0.4,10,311,16,0.25,0,0,95,0.05,0.03,0.6,10,0,13,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2014,"Sweetpotato, orange, biofortified, raw",0.92,325.0,76.9,78.7,1.9,0.1,15.6,3,0.7,27,0.5,14,250,10,0.5,1,0,[6200],0.03,0.05,1,11,0,31,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2028,"Sweetpotato, orange, biofortified, boiled, drained (without salt)",0,325.0,77.0,78.7,1.9,0.1,15.6,3,0.7,26,0.5,13,200,8,0.45,0,0,5890,0.02,0.04,0.8,7,0,22,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2015,"Sweet potato, pink skin",0.84,349.0,83.0,76.8,1.8,[0.6],15.6,3.9,1.3,14,1,19,247,11,0.14,0,0,11,0.07,0.03,0.7,14,0,22,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2029,"Sweet potato, pink skin, boiled, drained (without salt)",0,349.0,83.0,76.8,1.8,0.6,15.6,3.9,1.3,13,0.9,17,198,9,0.13,0,0,11,0.05,0.03,0.5,9,0,16,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
